City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Mbanza-Ngungu,CD,75.7,overcast clouds,-5.25,14.8667,Hotel Full Business
642,Hyderabad,IN,89.1,scattered clouds,17.3753,78.4744,Star Inn
646,Balabac,PH,81.6,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
648,Grand-Santi,GF,81.8,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
652,Emilio Carranza,MX,85.8,clear sky,19.9711,-96.6114,Hotel Carranza Inn
663,Basco,PH,79.8,heavy intensity rain,20.4487,121.9702,Nathaniel's Lodge
666,Euclides Da Cunha,BR,85.7,overcast clouds,-10.5075,-39.0158,Hotel e Posto Bastos
668,Pathein,MM,81.7,overcast clouds,16.7833,94.7333,Pathein Hotel
669,Arawa,PG,75.9,few clouds,-6.2132,155.5367,Coastline Guest House
671,Yarmouth,US,76.6,haze,41.7057,-70.2286,Blue Rock Resort
675,Waddan,LY,88.8,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
680,Jipijapa,EC,76.5,overcast clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
681,Bud,US,75.1,clear sky,39.447,-86.1758,Ted McQuinn Trust
682,Ambulu,ID,76.3,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
686,Wajir,KE,81.9,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
687,Benguela,AO,78.8,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
690,Labuhan,ID,79.9,overcast clouds,-6.8844,112.2051,DoubleFAG
